X,CH1,
Second,Volt,
5.4199997e-02,-8.00000e-02,
5.4399997e-02,-1.60000e-01,
5.4599997e-02,-3.60000e-01,
5.4799996e-02,-4.00000e-01,
5.4999996e-02,-4.00000e-01,
5.5199996e-02,-3.60000e-01,
5.5399995e-02,-1.20000e-01,
5.5599999e-02,-8.00000e-02,
5.5799998e-02,2.40000e-01,
5.5999998e-02,2.40000e-01,
5.6199998e-02,3.60000e-01,
5.6399997e-02,3.60000e-01,
5.6599997e-02,1.60000e-01,
5.6799997e-02,1.60000e-01,
5.6999996e-02,-1.60000e-01,
5.7199996e-02,-2.00000e-01,
5.7399996e-02,-3.20000e-01,
5.7599995e-02,-3.20000e-01,
5.7799999e-02,-1.60000e-01,
5.7999998e-02,-1.20000e-01,
5.8199998e-02,1.60000e-01,
5.8399998e-02,2.00000e-01,
5.8599997e-02,2.80000e-01,
5.8799997e-02,2.80000e-01,
5.8999997e-02,8.00000e-02,
5.9199996e-02,1.20000e-01,
5.9399996e-02,-1.60000e-01,
5.9599996e-02,-1.60000e-01,
5.9799995e-02,-2.80000e-01,
5.9999995e-02,-2.40000e-01,
6.0199998e-02,-8.00000e-02,
6.0399998e-02,-8.00000e-02,
6.0599998e-02,1.60000e-01,
6.0799997e-02,1.60000e-01,
6.0999997e-02,2.40000e-01,
6.1199997e-02,2.40000e-01,
6.1399996e-02,1.20000e-01,
6.1599996e-02,1.20000e-01,
6.1799996e-02,-1.20000e-01,
6.1999999e-02,-1.20000e-01,
6.2199999e-02,-2.00000e-01,
6.2399998e-02,-2.00000e-01,
6.2599994e-02,-8.00000e-02,
6.2799998e-02,-8.00000e-02,
6.2999994e-02,8.00000e-02,
6.3199997e-02,8.00000e-02,
6.3399993e-02,1.60000e-01,
6.3599996e-02,2.00000e-01,
6.3799992e-02,1.20000e-01,
6.3999996e-02,8.00000e-02,
6.4199999e-02,-8.00000e-02,
6.4399995e-02,0.00000e+00,
6.4599998e-02,-1.60000e-01,
6.4799994e-02,-1.60000e-01,
6.4999998e-02,-1.20000e-01,
6.5199994e-02,-1.20000e-01,
6.5399997e-02,4.00000e-02,
6.5599993e-02,8.00000e-02,
6.5799996e-02,1.20000e-01,
6.5999992e-02,1.60000e-01,
6.6199996e-02,8.00000e-02,
6.6399992e-02,1.20000e-01,
6.6599995e-02,4.00000e-02,
6.6799998e-02,0.00000e+00,
6.6999994e-02,-1.20000e-01,
6.7199998e-02,-1.20000e-01,
6.7399994e-02,-8.00000e-02,
6.7599997e-02,-1.20000e-01,
6.7799993e-02,0.00000e+00,
6.7999996e-02,0.00000e+00,
6.8199992e-02,1.20000e-01,
6.8399996e-02,1.20000e-01,
6.8599992e-02,8.00000e-02,
6.8799995e-02,1.20000e-01,
6.8999998e-02,4.00000e-02,
6.9199994e-02,4.00000e-02,
6.9399998e-02,-8.00000e-02,
6.9599994e-02,-8.00000e-02,
6.9799997e-02,-1.20000e-01,
6.9999993e-02,-8.00000e-02,
7.0199996e-02,0.00000e+00,
7.0399992e-02,0.00000e+00,
7.0599996e-02,8.00000e-02,
7.0799991e-02,8.00000e-02,
7.0999995e-02,1.20000e-01,
7.1199998e-02,1.20000e-01,
7.1399994e-02,4.00000e-02,
7.1599998e-02,4.00000e-02,
7.1799994e-02,-8.00000e-02,
7.1999997e-02,0.00000e+00,
7.2199993e-02,-1.20000e-01,
7.2399996e-02,-8.00000e-02,
7.2599992e-02,0.00000e+00,
7.2799996e-02,0.00000e+00,
7.2999991e-02,8.00000e-02,
7.3199995e-02,8.00000e-02,
7.3399991e-02,8.00000e-02,
7.3599994e-02,1.20000e-01,
7.3799998e-02,4.00000e-02,
7.3999994e-02,4.00000e-02,
7.4199997e-02,-8.00000e-02,
7.4399993e-02,-8.00000e-02,
7.4599996e-02,-8.00000e-02,
7.4799992e-02,-8.00000e-02,
7.4999996e-02,0.00000e+00,
7.5199991e-02,0.00000e+00,
7.5399995e-02,8.00000e-02,
7.5599991e-02,1.20000e-01,
7.5799994e-02,4.00000e-02,
7.5999998e-02,8.00000e-02,
7.6199993e-02,4.00000e-02,
7.6399997e-02,4.00000e-02,
7.6599993e-02,-8.00000e-02,
7.6799996e-02,-8.00000e-02,
7.6999992e-02,0.00000e+00,
7.7199996e-02,-8.00000e-02,
7.7399991e-02,0.00000e+00,
7.7599995e-02,0.00000e+00,
7.7799991e-02,8.00000e-02,
7.7999994e-02,4.00000e-02,
7.8199998e-02,8.00000e-02,
7.8399993e-02,4.00000e-02,
7.8599997e-02,0.00000e+00,
7.8799993e-02,4.00000e-02,
7.8999996e-02,0.00000e+00,
7.9199992e-02,0.00000e+00,
7.9399996e-02,-8.00000e-02,
7.9599991e-02,-8.00000e-02,
7.9799995e-02,0.00000e+00,
7.9999991e-02,0.00000e+00,
8.0199994e-02,4.00000e-02,
8.0399990e-02,4.00000e-02,
8.0599993e-02,4.00000e-02,
8.0799997e-02,4.00000e-02,
8.0999993e-02,8.00000e-02,
8.1199996e-02,4.00000e-02,
8.1399992e-02,0.00000e+00,
8.1599995e-02,4.00000e-02,
8.1799991e-02,-8.00000e-02,
8.1999995e-02,0.00000e+00,
8.2199991e-02,-8.00000e-02,
8.2399994e-02,4.00000e-02,
8.2599990e-02,0.00000e+00,
8.2799993e-02,0.00000e+00,
8.2999997e-02,4.00000e-02,
8.3199993e-02,4.00000e-02,
8.3399996e-02,8.00000e-02,
8.3599992e-02,4.00000e-02,
8.3799995e-02,0.00000e+00,
8.3999991e-02,0.00000e+00,
8.4199995e-02,4.00000e-02,
8.4399991e-02,0.00000e+00,
8.4599994e-02,-8.00000e-02,
8.4799990e-02,-8.00000e-02,
8.4999993e-02,4.00000e-02,
8.5199997e-02,0.00000e+00,
8.5399993e-02,4.00000e-02,
8.5599996e-02,0.00000e+00,
8.5799992e-02,4.00000e-02,
8.5999995e-02,4.00000e-02,
8.6199991e-02,0.00000e+00,
8.6399995e-02,4.00000e-02,
8.6599991e-02,0.00000e+00,
8.6799994e-02,0.00000e+00,
8.6999990e-02,0.00000e+00,
8.7199993e-02,0.00000e+00,
8.7399989e-02,4.00000e-02,
8.7599993e-02,0.00000e+00,
8.7799996e-02,4.00000e-02,
8.7999992e-02,4.00000e-02,
8.8199995e-02,0.00000e+00,
8.8399991e-02,4.00000e-02,
8.8599995e-02,0.00000e+00,
8.8799991e-02,4.00000e-02,
8.8999994e-02,0.00000e+00,
8.9199990e-02,4.00000e-02,
8.9399993e-02,0.00000e+00,
8.9599989e-02,0.00000e+00,
8.9799993e-02,4.00000e-02,
8.9999996e-02,0.00000e+00,
9.0199992e-02,4.00000e-02,
